Sample,Abs595,Abs,DF
s1,0.1186,0.3826,5
p1,-0.1175,0.1465,5
s2,0.1108,0.3748,5
p2,-0.1834,0.0806,5
s3,0.0727,0.3367,5
p3,-0.1137,0.1503,5
