S,A540,Blank,Activity (Vo)
25,-0.1995,0.0012,-0.1936
15,-0.2414,0.0004,-0.2333
10,-0.2315,-0.0008,-0.2225
5,-0.2286,0.0002,-0.2207
2.5,-0.1995,-0.0015,-0.1910
1.5,-0.1818,0.0004,-0.1757
0.6,-0.1422,-0.0006,-0.1366
0.25,-0.0974,-0.0011,-0.0929
0,0.0001,-0.0001,0.0002
